room_id,message_index,username,emoji
general,0,bob_tester,👋
general,0,charlie_ops,👋
general,0,dana_design,👋
general,5,alice_dev,🎉
general,5,charlie_ops,🎉
general,5,dana_design,👍
general,6,alice_dev,🚀
general,6,bob_tester,🚀
general,23,alice_dev,🎉
general,23,charlie_ops,🎉
general,23,dana_design,🎉
general,28,alice_dev,😂
general,28,charlie_ops,😂
general,28,dana_design,😂
general,38,bob_tester,🚀
general,38,charlie_ops,🚀
general,38,dana_design,🎉
general,38,bob_tester,👀
random,1,alice_dev,☕
random,1,charlie_ops,👍
random,3,bob_tester,😂
random,3,alice_dev,😂
random,3,dana_design,😂
random,7,bob_tester,👍
random,7,alice_dev,👍
random,7,charlie_ops,👍
random,13,bob_tester,😂
random,13,charlie_ops,😂
random,13,dana_design,😮
random,21,bob_tester,👀
random,21,charlie_ops,👀
random,21,dana_design,🚀
random,25,bob_tester,😂
random,25,dana_design,😂
random,25,charlie_ops,😂
random,37,alice_dev,😂
random,37,bob_tester,😂
random,37,dana_design,😂
random,37,alice_dev,👍
random,44,dana_design,👍
dev,0,bob_tester,👍
dev,0,charlie_ops,🚀
dev,8,alice_dev,👀
dev,8,charlie_ops,👀
dev,40,alice_dev,👍
dev,40,charlie_ops,❤️
dev,45,alice_dev,🎉
dev,45,bob_tester,🎉
dev,45,charlie_ops,🚀
dev,45,dana_design,❤️
dev,47,alice_dev,🚀
dev,47,bob_tester,🚀
dev,47,dana_design,🚀
dev,61,alice_dev,😂
dev,61,charlie_ops,😂
dev,61,dana_design,😂
general,53,alice_dev,👍
general,53,bob_tester,🎉
general,85,alice_dev,😂
general,85,bob_tester,😂
general,85,dana_design,😂
general,88,bob_tester,😂
general,88,charlie_ops,😂
general,88,dana_design,😮
general,95,alice_dev,👀
general,95,bob_tester,👀
general,118,alice_dev,🎉
general,118,bob_tester,🎉
general,118,charlie_ops,🎉
general,123,alice_dev,🚀
general,123,charlie_ops,🚀
general,123,dana_design,🎉
general,129,alice_dev,🚀
general,129,bob_tester,🚀
general,129,dana_design,👍
general,138,alice_dev,😂
general,138,bob_tester,😂
general,138,dana_design,😂
general,140,bob_tester,😂
general,140,charlie_ops,😂
general,145,alice_dev,👀
general,145,bob_tester,👀
general,145,charlie_ops,🎉
general,149,alice_dev,❤️
general,149,bob_tester,❤️
general,149,charlie_ops,❤️
random,60,charlie_ops,😮
random,60,alice_dev,👍
random,61,bob_tester,😂
random,61,alice_dev,😂
random,61,dana_design,😂
random,66,alice_dev,😮
random,66,bob_tester,😮
random,66,dana_design,👀
random,75,alice_dev,😂
random,75,bob_tester,😂
random,75,dana_design,😂
random,89,alice_dev,🎉
random,89,charlie_ops,🎉
random,89,dana_design,🎉
random,97,alice_dev,😂
random,97,charlie_ops,😂
random,97,dana_design,❤️
random,108,alice_dev,😂
random,108,bob_tester,😂
random,108,dana_design,😂
random,113,alice_dev,😂
random,113,bob_tester,😂
random,113,dana_design,😂
random,120,alice_dev,😂
random,120,bob_tester,😂
random,120,dana_design,😂
random,133,alice_dev,👀
random,133,bob_tester,👀
random,133,charlie_ops,👀
random,146,bob_tester,😂
random,146,charlie_ops,😂
random,146,dana_design,😂
random,149,alice_dev,❤️
random,149,bob_tester,❤️
random,149,dana_design,❤️
dev,73,bob_tester,🎉
dev,73,dana_design,👍
dev,90,bob_tester,👍
dev,90,charlie_ops,👍
dev,98,alice_dev,🎉
dev,98,charlie_ops,🎉
dev,120,alice_dev,🚀
dev,120,charlie_ops,🚀
dev,120,dana_design,👀
dev,121,alice_dev,👀
dev,121,bob_tester,👀
dev,132,alice_dev,😂
dev,132,bob_tester,😂
dev,132,dana_design,😂
dev,142,alice_dev,👍
dev,142,bob_tester,👍
dev,145,alice_dev,🚀
dev,145,bob_tester,🚀
dev,145,dana_design,🎉
dev,156,alice_dev,😂
dev,156,charlie_ops,😂
dev,156,dana_design,😂
dev,163,alice_dev,😂
dev,163,bob_tester,😂
dev,163,dana_design,😂
